335856	0.013713	->	0.144259
5724961	0.027497	<-	0.139852
9001314	0.001488	->	0.087236
9906280	0.001069	<-	0.217786
8387605	0.021635	->	0.134621
7596745	0.013937	->	0.133999
9334409	0.032673	<-	0.151738
6369179	0.010853	->	0.132862
3762347	0.002508	->	0.085834
6215245	0.025407	<-	0.054985
1315486	0.038559	->	0.080211
7685596	0.005629	->	0.083705
4940846	0.004578	<-	0.226476
9170354	0.030410	->	0.136474
2117337	0.021590	->	0.137005
1571763	0.002010	<-	0.129183
2768989	0.014660	<-	0.131544
9461292	0.020741	<-	0.147939
7393242	0.009476	<-	0.296942
7175769	0.028643	->	0.084384
27046	0.035216	->	0.183906
9660132	0.023060	<-	0.290027
335809	0.037608	<-	0.174757
3789555	0.000125	->	0.087180
9572689	0.027436	<-	0.293113
999908	0.028561	<-	0.132743
7420459	0.011028	<-	0.084030
1639114	0.010076	->	0.136326
1151998	0.019299	<-	0.129998
6344515	0.006045	->	0.300647
3651562	0.027173	<-	0.145154
5938568	0.018521	<-	0.151084
3029679	0.008688	->	0.084975
8423045	0.002747	->	0.217235
3887437	0.012211	->	0.224899
2524769	0.022164	->	0.140400
3449939	0.042227	->	0.177731
6833885	0.018567	<-	0.287692
1210425	0.049382	->	0.178078
9789133	0.012739	->	0.293315
2211041	0.005206	<-	0.229953
5942082	0.015303	<-	0.297460
1461768	0.005327	<-	0.126528
6553396	0.011604	->	0.048783
9956624	0.004106	<-	0.129606
6393936	0.019001	<-	0.224201
6407306	0.004038	<-	0.081357
7290094	0.048313	->	0.105369
7797219	0.001780	<-	0.214827
5344995	0.036218	<-	0.293510
5356455	0.028217	<-	0.140417
461148	0.014387	->	0.136242
7434097	0.007130	<-	0.298639
2856135	0.021700	->	0.051021
5137904	0.028506	<-	0.177690
5784796	0.021285	<-	0.170546
6432199	0.011600	<-	0.055364
7515311	0.014867	->	0.217032
3718189	0.022999	<-	0.085673
301485	0.010914	<-	0.084283
4759984	0.002251	<-	0.220456
7570847	0.022343	<-	0.129823
3051644	0.032941	<-	0.170616
7991211	0.017207	->	0.214450
3780054	0.000000	--	0.004332
7309859	0.022158	<-	0.179231
2429280	0.023824	<-	0.053612
7768687	0.000000	--	0.008741
8016488	0.042016	<-	0.088476
58757	0.044067	<-	0.082865
2790366	0.008057	<-	0.084040
8293939	0.014358	->	0.131825
4680963	0.021281	<-	0.131819
4609135	0.001538	->	0.085052
1980815	0.017361	->	0.051392
9042733	0.027089	<-	0.128747
5899729	0.000000	--	0.006601
8782954	0.005822	<-	0.087377
1336720	0.040914	->	0.103050
3898658	0.031952	->	0.295785
9344886	0.034978	<-	0.138122
3609721	0.004974	<-	0.079913
4234366	0.018474	->	0.044294
9493208	0.001682	->	0.286502
605664	0.009097	<-	0.223338
8870635	0.031406	->	0.080435
4858849	0.026393	<-	0.301053
4081426	0.000000	--	0.008829
4075696	0.033963	->	0.076618
8979856	0.009422	<-	0.221823
9248378	0.009640	<-	0.296815
4874374	0.036483	<-	0.174598
383689	0.026026	<-	0.127363
6896908	0.033625	<-	0.176636
2511596	0.023404	->	0.294667
763251	0.027515	<-	0.172620
8900641	0.008524	<-	0.225836
171881	0.014009	<-	0.055327
9241507	0.030192	->	0.297948
8500062	0.004040	<-	0.227037
5965429	0.006783	->	0.215970
3141587	0.022494	<-	0.051408
3089914	0.040663	<-	0.179214
4167366	0.004106	->	0.221827
8248578	0.011832	->	0.084455
8699414	0.002894	->	0.414396
2360217	0.043834	<-	0.173187
3220734	0.006646	<-	0.222010
7356655	0.030450	<-	0.125455
1544130	0.019661	->	0.132576
7148241	0.006237	->	0.081271
3284343	0.016527	<-	0.224598
9862040	0.013059	<-	0.127634
6774840	0.006185	->	0.227712
3877991	0.023181	->	0.050957
129459	0.020385	->	0.129854
9533965	0.000206	<-	0.080121
8515875	0.002698	<-	0.226650
9565817	0.020456	<-	0.295914
9708349	0.013597	<-	0.127416
3795622	0.036432	->	0.081120
4751456	0.025220	<-	0.145078
2015543	0.010160	<-	0.126889
7956278	0.015269	<-	0.053377
2710073	0.002662	<-	0.081185
6917340	0.052312	<-	0.113994
8672613	0.012307	<-	0.297074
8119359	0.003517	->	0.087091
3808440	0.004789	<-	0.132441
1554576	0.003587	->	0.223483
1513822	0.000000	--	0.010939
8040195	0.008989	->	0.221597
1278052	0.011283	<-	0.408392
5328053	0.007393	<-	0.085425
6525272	0.036818	<-	0.127220
1790669	0.029624	<-	0.130481
1303738	0.008998	<-	0.124471
915763	0.023989	<-	0.052065
6322446	0.020009	<-	0.053298
4165866	0.025991	->	0.182345
1328186	0.000000	--	0.007845
4880720	0.056075	->	0.109101
5799207	0.016150	->	0.135580
6794852	0.000159	<-	0.080147
8773102	0.042982	<-	0.187812
1539011	0.031836	<-	0.189775
7781821	0.006768	->	0.219810
6563691	0.016368	->	0.141465
3236894	0.020212	<-	0.055721
9177068	0.006527	<-	0.080960
2493420	0.014469	->	0.127968
2017931	0.000757	<-	0.130937
1122880	0.009415	<-	0.085290
6197830	0.027525	<-	0.194039
5644697	0.025648	<-	0.090042
6441964	0.007424	->	0.219781
9193877	0.038079	<-	0.084558
289801	0.018468	<-	0.052729
5541693	0.015196	<-	0.221124
3641945	0.015921	->	0.134606
8329051	0.022847	->	0.050837
2540108	0.002783	->	0.222585
2480106	0.014513	->	0.050080
6769309	0.040999	<-	0.090038
5953037	0.021077	<-	0.127966
1517895	0.027696	<-	0.128205
1776568	0.004298	<-	0.223298
5489865	0.023018	->	0.135012
8795079	0.014140	<-	0.143826
9904360	0.030831	->	0.295017
6534904	0.001764	->	0.222040
8707078	0.015269	->	0.053780
8727571	0.007208	<-	0.081628
3046078	0.030392	->	0.076690
760014	0.011573	->	0.222864
6181897	0.000243	<-	0.219856
