i c i i i i
3.43570614030013 4 9.50398480268482 101.921381060882 9.2426978808825 12.2108453096739
5.75763107223093 4 3.25775659864302 14.6101898862822 4.36686496831806 35.0862220760962
-2.93629494331829 2 5.53356280074517 38.7796217662654 6.88063827669485 6.77395997156002
-1.6834965263804 2 7.40046380040415 62.3831042273324 4.8362306593347 -2.47358792168047
3.30229970546173 2 1.00046152976363 3.63163119929296 5.4049843235321 15.2483040422116
-5.91452237817343 1 3.71137788959379 16.6514621540491 3.5228013997759 32.3449612829006
-6.59126880909039 2 -10.845076325856 107.842460831011 -11.3376952821049 33.4233754992144
3.57972193076495 2 1.37354903124608 2.20234589540347 -0.535513172475653 18.7710107934168
-3.93221483022022 4 -4.31515786261616 14.3981010176499 -4.08754272181689 8.50538091244931
-2.72105149426291 1 -4.63044553451011 16.7904661110904 -6.39980772600817 2.48481731433725
-5.31503442228634 2 -15.479208473875 225.032527341746 -16.2836527894029 23.0501309227934
3.49026648838901 2 -1.67462729309607 3.9705485614085 -4.09046462910432 19.4050350948622
5.86733140243269 3 -1.68106575388853 2.61886894753976 -0.418422103535579 45.2992109315534
3.11776494511549 1 2.04421731028884 6.47227550553979 1.98583001395342 12.5346555483285
1.23100008031288 2 -1.43515928519549 1.54637965778649 -5.15486766355438 -0.95016152084381
-5.25680323423141 2 7.93583615335213 71.595798975633 6.28803457036534 24.461921452448
-7.9743171230619 1 -1.87371139718976 3.37665315301035 -1.92523559198115 58.346002570886
-1.72327241325315 3 7.41315775709172 62.8039126698218 10.7092366765518 1.8813890315101
-1.83041981894567 2 -8.17175788376807 58.7482154461084 -8.44472558360633 0.0665031682543644
-4.0431202277809 4 -3.68427209265509 11.5028126543295 -4.7308286259786 10.4228536594648
-2.3096717482637 1 -3.36852854576077 9.19831892055172 -4.7696835042187 0.183583203730755
3.4959756798955 2 -2.70769028672251 2.9381501843988 -0.783758819239691 15.8212624751195
1.81280240591638 1 14.6861673829153 229.018909977869 14.0193510284722 2.31014082616781
-1.3693502660331 2 -2.75203448225917 5.41013785718888 -3.02980643977622 -0.0130405124531954
-1.60976424807635 1 -0.610857990780172 -1.90617875484921 -2.1461341806577 -1.57143435979137
2.57653605134166 1 -0.327652862974249 -0.391607100923817 -1.80876246195843 3.40777560093036
-3.7449226546348 1 -3.35615549761443 9.17904070602915 -6.53810591545539 8.66529944203419
